,name,mkdocs_theme,mkdocs_plugin,extra_dependencies,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,markdown_extension,license,trending,gitlab_id,gitlab_url,created_at,fork_count,open_issue_count,closed_issue_count,star_count,release_count,updated_at,shadowed,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,bitbucket_id
68,Shadcn,shadcn,"['shadcn/search', 'shadcn/excalidraw']",,asiffer/mkdocs-shadcn,mkdocs-shadcn,"['theme', 'plugin']",theming,{},95.0,95.0,7.0,https://pypi.org/project/mkdocs-shadcn,38617.0,38617.0,,7,True,2.0,,,,,,,,,,,,,,,,,,
69,Blogs for MkDocs,,blog,,fmaida/mkdocs-blog-plugin,mkdocs-blog-plugin,['plugin'],blogging,{},226.0,226.0,,https://pypi.org/project/mkdocs-blog-plugin,4066.0,4066.0,,7,True,2.0,,,,,,,,,,,,,['mkdocs_plugin'],,,,,
70,mkdocs_puml,,plantuml,,MikhailKravets/mkdocs_puml,mkdocs-puml,['plugin'],charts,{},81.0,81.0,10.0,https://pypi.org/project/mkdocs-puml,58180.0,58180.0,,7,True,2.0,,,,,,,,,,,,,,,,,,
71,build-plantuml,,build_plantuml,,quantorconsulting/mkdocs_build_plantuml,mkdocs-build-plantuml-plugin,['plugin'],charts,{},147.0,147.0,14.0,https://pypi.org/project/mkdocs-build-plantuml-plugin,31455.0,31455.0,,7,True,2.0,,,,,,,,,,,,,,,,,,
72,markdown-captions,,,,Evidlo/markdown_captions,markdown-captions,['markdown'],charts,{},197.0,197.0,2.0,https://pypi.org/project/markdown-captions,23494.0,23494.0,,7,True,2.0,markdown_captions,,,,,,,,,,,,,,,,,
73,document-dates,,document-dates,,jaywhj/mkdocs-document-dates,mkdocs-document-dates,['plugin'],git-info,{},71.0,71.0,4.0,https://pypi.org/project/mkdocs-document-dates,20794.0,20794.0,,7,True,3.0,,,,,,,,,,,,,,,,,,
74,add-number,,add-number,,ignorantshr/mkdocs-add-number-plugin,mkdocs-add-number-plugin,['plugin'],html-css,{},54.0,54.0,3.0,https://pypi.org/project/mkdocs-add-number-plugin,9136.0,9136.0,,7,True,2.0,,,,,,,,,,,,,,,,,,
75,minify-html,,minify_html,,monosans/mkdocs-minify-html-plugin,mkdocs-minify-html-plugin,['plugin'],html-css,{},102.0,102.0,4.0,https://pypi.org/project/mkdocs-minify-html-plugin,21160.0,21160.0,,7,True,2.0,,,,,,,,,,,,,,,,,,
76,autorefs,,autorefs,,mkdocstrings/autorefs,mkdocs-autorefs,['plugin'],links-refs,{},,,9.0,https://pypi.org/project/mkdocs-autorefs,7903962.0,7903962.0,,7,True,2.0,,,,,,,,,,,,,,,,,,
77,ezlinks,,ezlinks,,orbikm/mkdocs-ezlinks-plugin,mkdocs-ezlinks-plugin,['plugin'],links-refs,{},181.0,181.0,,https://pypi.org/project/mkdocs-ezlinks-plugin,13943.0,13943.0,,7,True,2.0,,,,,,,,,,,,,,,,,,
78,mkdocs-nav-weight,,mkdocs-nav-weight,,shu307/mkdocs-nav-weight,mkdocs-nav-weight,['plugin'],nav-pages,{},137.0,137.0,4.0,https://pypi.org/project/mkdocs-nav-weight,49578.0,49578.0,,7,True,2.0,,,,,,,,,,,,,,,,,,
79,mkdocs-exporter,,exporter,,adrienbrignon/mkdocs-exporter,mkdocs-exporter,['plugin'],site-conversion,{},51.0,51.0,4.0,https://pypi.org/project/mkdocs-exporter,24462.0,24462.0,,7,True,2.0,,,,,,,,,,,,,,,,,,
80,simple,,simple,,athackst/mkdocs-simple-plugin,mkdocs-simple-plugin,['plugin'],site-management,{},64.0,64.0,8.0,https://pypi.org/project/mkdocs-simple-plugin,43903.0,43903.0,,7,True,2.0,,,,,,,,,,,,,,,,,,
81,mkdocs-versioning,,mkdocs-versioning,,zayd62/mkdocs-versioning,mkdocs-versioning,['plugin'],site-management,{},182.0,182.0,5.0,https://pypi.org/project/mkdocs-versioning,12819.0,12819.0,,7,True,2.0,,,,,,,,,,,,,,,,,,
82,markdown-version-annotations,,,,glennmatthews/markdown-version-annotations,markdown-version-annotations,['markdown'],snippets-include,{},108.0,108.0,,https://pypi.org/project/markdown-version-annotations,17492.0,17492.0,,7,True,3.0,markdown_version_annotations,,,,,,,,,,,,,,,,,
