,name,mkdocs_plugin,github_id,pypi_id,labels,license,category,github_url,homepage,created_at,updated_at,last_commit_pushed_at,commit_count,fork_count,pr_count,open_issue_count,closed_issue_count,star_count,latest_stable_release_published_at,latest_stable_release_number,release_count,description,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,projectrank,show,projectrank_placing,mkdocs_theme,extra_dependencies,dependent_project_count,github_dependent_project_count,watchers_count,markdown_extension,trending,gitlab_id,gitlab_url,shadowed,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,bitbucket_id
71,MkApi,mkapi,daizutabi/mkapi,mkapi,['plugin'],,api-docs,,{},,,,,,,,,,,,,,6.0,https://pypi.org/project/mkapi,8034.0,8034.0,7,True,2.0,,,271.0,271.0,,,,,,,,,,,
72,mkdoxy,mkdoxy,JakubAndrysek/MkDoxy,mkdoxy,['plugin'],,api-docs,,{},,,,,,,,,,,,,,18.0,https://pypi.org/project/mkdoxy,54567.0,54567.0,7,True,2.0,,,75.0,75.0,,,,,,,,,,,
73,Blogs for MkDocs,blog,fmaida/mkdocs-blog-plugin,mkdocs-blog-plugin,['plugin'],,blogging,,{},,,,,,,,,,,,,,,https://pypi.org/project/mkdocs-blog-plugin,3997.0,3997.0,7,True,2.0,,,228.0,228.0,,,,,,['mkdocs_plugin'],,,,,
74,mkdocs_puml,plantuml,MikhailKravets/mkdocs_puml,mkdocs-puml,['plugin'],,charts,,{},,,,,,,,,,,,,,10.0,https://pypi.org/project/mkdocs-puml,56712.0,56712.0,7,True,2.0,,,81.0,81.0,,,,,,,,,,,
75,build-plantuml,build_plantuml,quantorconsulting/mkdocs_build_plantuml,mkdocs-build-plantuml-plugin,['plugin'],,charts,,{},,,,,,,,,,,,,,14.0,https://pypi.org/project/mkdocs-build-plantuml-plugin,34089.0,34089.0,7,True,2.0,,,147.0,147.0,,,,,,,,,,,
76,markdown-captions,,Evidlo/markdown_captions,markdown-captions,['markdown'],,charts,,{},,,,,,,,,,,,,,2.0,https://pypi.org/project/markdown-captions,23991.0,23991.0,7,True,2.0,,,197.0,197.0,,markdown_captions,,,,,,,,,
77,mkdocs-marimo,marimo,marimo-team/mkdocs-marimo,mkdocs-marimo,['plugin'],Apache-2,code-exec-templating,,{},,,,,,,,,,,,,,8.0,https://pypi.org/project/mkdocs-marimo,7193.0,7193.0,7,True,2.0,,,15.0,15.0,,,,,,,,,,,
78,document-dates,document-dates,jaywhj/mkdocs-document-dates,mkdocs-document-dates,['plugin'],,git-info,,{},,,,,,,,,,,,,,4.0,https://pypi.org/project/mkdocs-document-dates,18598.0,18598.0,7,True,3.0,,,72.0,72.0,,,,,,,,,,,
79,minify-html,minify_html,monosans/mkdocs-minify-html-plugin,mkdocs-minify-html-plugin,['plugin'],,html-css,,{},,,,,,,,,,,,,,4.0,https://pypi.org/project/mkdocs-minify-html-plugin,21441.0,21441.0,7,True,2.0,,,102.0,102.0,,,,,,,,,,,
80,autorefs,autorefs,mkdocstrings/autorefs,mkdocs-autorefs,['plugin'],,links-refs,,{},,,,,,,,,,,,,,9.0,https://pypi.org/project/mkdocs-autorefs,7334378.0,7334378.0,7,True,2.0,,,,,,,,,,,,,,,
