,name,markdown_extension,github_id,pypi_id,labels,category,homepage,dependent_project_count,github_dependent_project_count,contributor_count,pypi_url,pypi_monthly_downloads,monthly_downloads,description,projectrank,show,projectrank_placing,mkdocs_plugin,license,trending,extra_dependencies,mkdocs_theme,gitlab_id,gitlab_url,created_at,fork_count,open_issue_count,closed_issue_count,star_count,release_count,updated_at,shadowed,dockerhub_id,dockerhub_url,dockerhub_latest_release_published_at,dockerhub_pulls,bitbucket_id
113,table-reader,,timvink/mkdocs-table-reader-plugin,mkdocs-table-reader-plugin,['plugin'],charts,{},,,9.0,https://pypi.org/project/mkdocs-table-reader-plugin,225333.0,225333.0,,5,True,2.0,table-reader,,,,,,,,,,,,,,,,,,,
114,markdownmermaid,,pugong/mkdocs-mermaid-plugin,mkdocs-mermaid-plugin,['plugin'],charts,{},138.0,138.0,2.0,https://pypi.org/project/mkdocs-mermaid-plugin,2478.0,2478.0,A MkDocs plugin that support mermaid graph in markdown file.,5,True,2.0,markdownmermaid,,,,,,,,,,,,,,,,,,,
115,mkdocs-resize-images,,JakubAndrysek/mkdocs-resize-images,mkdocs-resize-images,['plugin'],charts,{},13.0,13.0,,https://pypi.org/project/mkdocs-resize-images,1172.0,1172.0,,5,True,2.0,resize-images,,,,,,,,,,,,,,,,,,,
116,Interactive Graph,,daxcore/mkdocs-obsidian-interactive-graph-plugin,mkdocs-obsidian-interactive-graph-plugin,['plugin'],charts,{},53.0,53.0,4.0,https://pypi.org/project/mkdocs-obsidian-interactive-graph-plugin,825.0,825.0,,5,True,2.0,obsidian-interactive-graph,,,,,,,,,,,,,,,,,,,
117,markdown-filter,,byrnereese/mkdocs-markdown-filter,mkdocs-markdown-filter,['plugin'],code-exec-templating,{},41.0,41.0,,https://pypi.org/project/mkdocs-markdown-filter,5271.0,5271.0,,5,True,3.0,markdown-filter,,,,,,,,,,,,,,,,,,,
118,mkdocs-data-plugin,,joapuiib/mkdocs-data-plugin,mkdocs-data-plugin,['plugin'],code-exec-templating,{},5.0,5.0,,https://pypi.org/project/mkdocs-data-plugin,768.0,768.0,,5,True,3.0,data,MIT,,,,,,,,,,,,,,,,,,
119,mkdocs-git-latest-changes-plugin,,tombreit/mkdocs-git-latest-changes-plugin,mkdocs-git-latest-changes-plugin,['plugin'],git-info,{},8.0,8.0,4.0,https://pypi.org/project/mkdocs-git-latest-changes-plugin,18818.0,18818.0,,5,True,3.0,git-latest-changes,,,,,,,,,,,,,,,,,,,
120,bootstrap-tables,,byrnereese/mkdocs-bootstrap-tables-plugin,mkdocs-bootstrap-tables-plugin,['plugin'],html-css,{},114.0,114.0,,https://pypi.org/project/mkdocs-bootstrap-tables-plugin,588.0,588.0,,5,True,3.0,bootstrap-tables,,,,,,,,,,,,,,,,,,,
121,mkdocs-render-swagger-plugin,,bharel/mkdocs-render-swagger-plugin,mkdocs-render-swagger-plugin,['plugin'],integrations,{},,,8.0,https://pypi.org/project/mkdocs-render-swagger-plugin,155441.0,155441.0,,5,True,2.0,render_swagger,,,,,,,,,,,,,,,,,,,
122,MkDocs asciinema-player,,pa-decarvalho/mkdocs-asciinema-player,mkdocs-asciinema-player,['plugin'],integrations,{},23.0,23.0,7.0,https://pypi.org/project/mkdocs-asciinema-player,1502.0,1502.0,,5,True,2.0,asciinema-player,,,,,,,,,,,,,,,,,,,
